function,is_kernel,github_link,guard
modify_base_tensor_map,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/cast/mxfp8/group_quantize_mxfp8.cuh#L143,ARCH_BLACKWELL_FAMILY
group_row_col_rht_gemm_device_graph_safe,True,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/hadamard_transform/graph_safe_group_row_cast_col_hadamard_transform_cast_fusion.cu#L194,ARCH_BLACKWELL_FAMILY
group_row_col_rht_gemm_device,True,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/hadamard_transform/group_row_cast_col_hadamard_transform_cast_fusion.cu#L186,ARCH_BLACKWELL_FAMILY
cvt_fp32_to_fp4_4x_with_rn,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/transpose/quantize_transpose_vector_blockwise_fp4.cu#L284,ARCH_BLACKWELL_FAMILY
try_cancel_cta,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L281,ARCH_BLACKWELL_FAMILY
get_cancelled_cta_id_2D,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L299,ARCH_BLACKWELL_FAMILY
float_to_e8m0,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L345,ARCH_BLACKWELL_FAMILY
mul_cvt_bf16_to_fp4_4x_with_rn,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L604,ARCH_BLACKWELL_FAMILY
mul_cvt_fp32_to_fp4_4x_with_rn,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L697,ARCH_BLACKWELL_FAMILY
mul_cvt_bf16_to_fp4_8x_round_to_nearest,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L750,ARCH_BLACKWELL_FAMILY
StochasticNumericConverterBase,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/hadamard_transform/graph_safe_group_row_cast_col_hadamard_transform_cast_fusion.cu#L98,ARCH_HAS_STOCHASTIC_ROUNDING
cvt_fp32_to_fp4_4x_with_stochastic_rounding,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/transpose/quantize_transpose_vector_blockwise_fp4.cu#L262,ARCH_HAS_STOCHASTIC_ROUNDING
mul_cvt_bf16_to_fp4_4x_with_stochastic_rounding,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L564,ARCH_HAS_STOCHASTIC_ROUNDING
mul_cvt_fp32_to_fp4_4x_with_stochastic_rounding,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L661,ARCH_HAS_STOCHASTIC_ROUNDING
mul_cvt_bf16_to_fp4_8x_stochastic_rounding,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L842,ARCH_HAS_STOCHASTIC_ROUNDING
reduce_sync_max_abs_f32,False,https://github.com/NVIDIA/TransformerEngine/blob/c68ec3101d0dc16fe6eb40294a5fed3a9370b6a8/transformer_engine/common/util/ptx.cuh#L1129,NVTE_CUDA_ARCH_MATCHES(FamilySpecific/ArchSpecific<100>)
